metpo_id	metpo_label	has_definition	has_def_source	best_match_distance	best_match_ontology	best_match_label	best_match_iri	proposed_definition	proposed_def_source	confidence_level	action_needed
METPO:1000478	pH delta high	True	False							none	No matches found - manual definition required
METPO:1000479	NaCl delta low	True	False							none	No matches found - manual definition required
METPO:1000480	NaCl delta mid1	True	False							none	No matches found - manual definition required
METPO:1000481	NaCl delta mid2	True	False							none	No matches found - manual definition required
METPO:1000482	NaCl delta high	True	False							none	No matches found - manual definition required
METPO:1000483	temperature delta very low	True	False	0.7322	DOI	Extreme low temperature condition	<http://doi.org/10.1601/ExtremeLowTemperatureCondition>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000484	temperature delta low	True	False	0.7908	MEO	temperature state	<https://mdatahub.org/data/meo/MEO_0001242>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000485	temperature delta mid1	True	False							none	No matches found - manual definition required
METPO:1000486	temperature delta mid2	True	False							none	No matches found - manual definition required
METPO:1000487	temperature delta high	True	False	0.7735	MEO	temperature state	<https://mdatahub.org/data/meo/MEO_0001242>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000525	microbe	True	True	0.3829	UNKNOWN	microorganism	<http://purl.org/zonmw/generic/10024>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000526	chemical entity	True	True	0.0	BIOLINK	chemical entity	https://w3id.org/biolink/vocab/ChemicalEntity			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000531	pH phenotype with numerical limits	False	False	0.7767	OMP	pH effects on population growth phenotype	http://purl.obolibrary.org/obo/OMP_0005008	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.	OMP:http://purl.obolibrary.org/obo/OMP_0005008	low	Low confidence - manual definition preferred
METPO:1000532	salinity phenotype with numerical limits	False	False	0.6086	MEO	salinity state	<https://mdatahub.org/data/meo/MEO_0001245>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000533	temperature phenotype with numerical limits	False	False	0.5705	DOI	Temperature phenotype	<http://doi.org/10.1601/TemperaturePhenotype>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000534	delta phenotype with numerical limits	False	False							none	No matches found - manual definition required
METPO:1000535	growth range phenotype with numerical limits	False	False							none	No matches found - manual definition required
METPO:1000536	optimum phenotype with numerical limits	False	False							none	No matches found - manual definition required
METPO:1000601	oxygen preference	False	False	0.5481	DOI	Oxygen phenotype	<http://doi.org/10.1601/OxygenPhenotype>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000602	aerobic	True	False	0.0	MICRO	aerobic	http://purl.obolibrary.org/obo/MICRO_0000494			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000603	anaerobic	True	False	0.0	MICRO	anaerobic	http://purl.obolibrary.org/obo/MICRO_0000495			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000604	microaerophilic	True	False	0.0	MICRO	microaerophilic	http://purl.obolibrary.org/obo/MICRO_0000515			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000605	facultatively anaerobic	True	False	0.1709	MICRO	facultatively anaerobic	http://purl.obolibrary.org/obo/MICRO_0000503	facultative anaerobe	MICRO:http://purl.obolibrary.org/obo/MICRO_0000503	high	Auto-propose (distance < 0.35)
METPO:1000606	obligately aerobic	True	False	0.0	MICRO	obligately aerobic	http://purl.obolibrary.org/obo/MICRO_0000516			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000607	obligately anaerobic	True	False	0.0	MICRO	obligately anaerobic	http://purl.obolibrary.org/obo/MICRO_0000504			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000608	facultatively aerobic	True	False	0.2669	MICRO	facultatively anaerobic	http://purl.obolibrary.org/obo/MICRO_0000503	facultative anaerobe	MICRO:http://purl.obolibrary.org/obo/MICRO_0000503	high	Auto-propose (distance < 0.35)
METPO:1000609	aerotolerant	True	False	0.0	MICRO	aerotolerant	http://purl.obolibrary.org/obo/MICRO_0000502			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000610	microaerotolerant	True	False	0.3184	MICRO	microaerophilic	http://purl.obolibrary.org/obo/MICRO_0000515			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000611	strictly anaerobic	True	False	0.3199	DOI	Strict anaerobe	<http://doi.org/10.1601/StrictAnaerobe>			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000612	facultative oxygen preference	True	False	0.5263	MICRO	facultative anaerobiosis	http://purl.obolibrary.org/obo/MICRO_0001527			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000613	temperature preference	True	False	0.6181	DOI	Temperature condition	<http://doi.org/10.1601/TemperatureCondition>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000614	psychrophilic	True	False	0.0	MICRO	psychrophilic	http://purl.obolibrary.org/obo/MICRO_0001306			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000615	mesophilic	True	False	0.0	MICRO	mesophilic	http://purl.obolibrary.org/obo/MICRO_0000111			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000616	thermophilic	True	False	0.0	MICRO	thermophilic	http://purl.obolibrary.org/obo/MICRO_0000118			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000617	hyperthermophilic	True	False	0.0	MICRO	hyperthermophilic	http://purl.obolibrary.org/obo/MICRO_0001294			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000618	psychrotolerant	True	False	0.0	MICRO	psychrotolerant	http://purl.obolibrary.org/obo/MICRO_0001310			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000619	thermotolerant	True	False	0.0	MICRO	thermotolerant	http://purl.obolibrary.org/obo/MICRO_0001286			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000620	halophilic	False	False	0.0	MICRO	halophilic	http://purl.obolibrary.org/obo/MICRO_0001314			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000621	haloalkaliphilic	False	False	0.3502	MICRO	alkaliphilic	http://purl.obolibrary.org/obo/MICRO_0001547			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000622	halotolerant	False	False	0.0	MICRO	halotolerant	http://purl.obolibrary.org/obo/MICRO_0001316			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000623	moderately halophilic	False	False	0.3993	UNKNOWN	Halophilic	<http://purl.jp/bio/10/mpo#MPO_03007>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000624	non halophilic	False	False	0.2815	MICRO	halophilic	http://purl.obolibrary.org/obo/MICRO_0001314			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000625	slightly halophilic	False	False	0.3565	MICRO	halophilic	http://purl.obolibrary.org/obo/MICRO_0001314			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000626	stenohaline	False	False	0.7177	UNKNOWN	Stenohaline	<http://purl.jp/bio/10/mpo#MPO_03025>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000627	euryhaline	False	False	0.1101	UNKNOWN	Euryhaline	<http://purl.jp/bio/10/mpo#MPO_03024>			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000628	extremely halophilic	False	False	0.3034	UNKNOWN	Halophilic	<http://purl.jp/bio/10/mpo#MPO_03007>			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000629	halophily preference	False	False	0.656	MICRO	halophilic	http://purl.obolibrary.org/obo/MICRO_0001314			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000630	biological process	True	True	0.0	BIOLINK	biological process	https://w3id.org/biolink/vocab/BiologicalProcess			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000631	trophic type	True	False	0.7508	ECOCORE	trophic process	http://purl.obolibrary.org/obo/ECOCORE_00000008	A process during which a living entity acquires or generates food and energy from a living, dead, or non-living entity.	ECOCORE:http://purl.obolibrary.org/obo/ECOCORE_00000008	low	Low confidence - manual definition preferred
METPO:1000632	autotrophic	False	False	0.0	MICRO	autotrophic	http://purl.obolibrary.org/obo/MICRO_0001456			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000633	carboxydotrophic	False	False	0.7061	BIOLINK	carboxylation	https://w3id.org/biolink/vocab/GeneOrGeneProductOrChemicalEntityAspectEnum#carboxylation			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000634	chemoautolithotrophic	False	False	0.3057	MICRO	chemoorganoautotrophic	http://purl.obolibrary.org/obo/MICRO_0001480			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000635	chemoautotrophic	False	False	0.1966	MICRO	chemoorganoautotrophic	http://purl.obolibrary.org/obo/MICRO_0001480			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000636	chemoheterotrophic	False	False	0.2505	MICRO	chemolithoheterotrophic	http://purl.obolibrary.org/obo/MICRO_0001478			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000637	chemolithoautotrophic	False	False	0.0	MICRO	chemolithoautotrophic	http://purl.obolibrary.org/obo/MICRO_0001477			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000638	chemolithoheterotrophic	False	False	0.0	MICRO	chemolithoheterotrophic	http://purl.obolibrary.org/obo/MICRO_0001478			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000639	chemolithotrophic	False	False	0.0	MICRO	chemolithotrophic	http://purl.obolibrary.org/obo/MICRO_0001476			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000640	chemoorganoheterotrophic	False	False	0.0	MICRO	chemoorganoheterotrophic	http://purl.obolibrary.org/obo/MICRO_0001481			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000641	chemotrophic	False	False	0.0	MICRO	chemotrophic	http://purl.obolibrary.org/obo/MICRO_0001458			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000642	copiotrophic	False	False	0.3203	UNKNOWN	Copiotrophic	<http://purl.jp/bio/10/mpo#MPO_04024>	Copiotroph	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_04024>	high	Auto-propose (distance < 0.35)
METPO:1000644	heterotrophic	False	False	0.0	MICRO	heterotrophic	http://purl.obolibrary.org/obo/MICRO_0001474			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000646	hydrogenotrophic	False	False	0.5603	MICRO	chemotrophic	http://purl.obolibrary.org/obo/MICRO_0001458			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000647	lithoautotrophic	False	False	0.2175	UNKNOWN	Lithoautotrophic	<http://purl.jp/bio/10/mpo#MPO_04041>	Lithoautotroph	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_04041>	high	Auto-propose (distance < 0.35)
METPO:1000648	lithoheterotrophic	False	False	0.1663	MICRO	lithotrophic	http://purl.obolibrary.org/obo/MICRO_0001459			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000649	lithotrophic	False	False	0.0	MICRO	lithotrophic	http://purl.obolibrary.org/obo/MICRO_0001459			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000650	methanotrophic	False	False	0.2969	UNKNOWN	Methanotrophic	<http://purl.jp/bio/10/mpo#MPO_04014>	Methanotroph	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_04014>	high	Auto-propose (distance < 0.35)
METPO:1000651	methylotrophic	False	False	0.2366	UNKNOWN	Methylotrophic	<http://purl.jp/bio/10/mpo#MPO_04015>	Methylotroph	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_04015>	high	Auto-propose (distance < 0.35)
METPO:1000652	mixotrophic	False	False	0.0	MICRO	mixotrophic	http://purl.obolibrary.org/obo/MICRO_0001475			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000654	oligotrophic	False	False	0.0	MEO	oligotrophic	<https://mdatahub.org/data/meo/MEO_0001463>			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000655	organotrophic	False	False	0.3406	UNKNOWN	Organotrophic	<http://purl.jp/bio/10/mpo#MPO_04017>	Organotroph	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_04017>	high	Auto-propose (distance < 0.35)
METPO:1000656	photoautotrophic	False	False	0.242	MICRO	photolithoautotrophic	http://purl.obolibrary.org/obo/MICRO_0001483			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000657	photoheterotrophic	False	False	0.2442	MICRO	photolithoheterotrophic	http://purl.obolibrary.org/obo/MICRO_0001484			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000658	photolithotrophic	False	False	0.0	MICRO	photolithotrophic	http://purl.obolibrary.org/obo/MICRO_0001482			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000659	photoorganoheterotrophic	False	False	0.0	MICRO	photoorganoheterotrophic	http://purl.obolibrary.org/obo/MICRO_0001487			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000660	phototrophic	False	False	0.0	MICRO	phototrophic	http://purl.obolibrary.org/obo/MICRO_0001457			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000663	chemoorganotrophic	False	False	0.0	MICRO	chemoorganotrophic	http://purl.obolibrary.org/obo/MICRO_0001479			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000664	organoheterotrophic	False	False	0.3299	UNKNOWN	Organoheterotrophic	<http://purl.jp/bio/10/mpo#MPO_04151>	Organoheterotroph	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_04151>	high	Auto-propose (distance < 0.35)
METPO:1000665	photolithoautotrophic	False	False	0.0	MICRO	photolithoautotrophic	http://purl.obolibrary.org/obo/MICRO_0001483			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000666	cell shape	False	False	0.0037	APO	cell shape	http://purl.obolibrary.org/obo/APO_0000051			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000667	bacillus shaped	False	False	0.3226	MICRO	bacillus	http://purl.obolibrary.org/obo/MICRO_0000401			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000668	coccus shaped	False	False	0.1767	MICRO	coccus	http://purl.obolibrary.org/obo/MICRO_0000402			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000669	crescent shaped	False	False	0.3253	FLOPO	style crescent-shaped	http://purl.obolibrary.org/obo/FLOPO_0017171			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000670	curved shaped	False	False	0.241	PATO	curved	http://purl.obolibrary.org/obo/PATO_0000406			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000671	diplococcus shaped	False	False	0.3165	MICRO	diplococcus	http://purl.obolibrary.org/obo/MICRO_0000383			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000672	dumbbell shaped	False	False	0.0573	PATO	dumbbell-shaped	http://purl.obolibrary.org/obo/PATO_0001876			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000673	ellipsoidal	False	False	0.5663	PATO	elliptic	http://purl.obolibrary.org/obo/PATO_0000947	ellipse-shaped; ellipsoid; elliptical; oval; ovoid	PATO:http://purl.obolibrary.org/obo/PATO_0000947	medium	Manual review recommended (distance 0.35-0.60)
METPO:1000674	filament shaped	False	False	0.2438	FLOPO	filament star shaped	http://purl.obolibrary.org/obo/FLOPO_0018443			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000675	flask shaped	False	False	0.3514	UNKNOWN	Flask shape	<http://purl.jp/bio/10/mpo#MPO_01008>	Flask-shaped; Flask	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_01008>	medium	Manual review recommended (distance 0.35-0.60)
METPO:1000676	helical shaped	False	False	0.4469	UNKNOWN	Helical shape	<http://purl.jp/bio/10/mpo#MPO_01010>	Helical-shaped; Helical	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_01010>	medium	Manual review recommended (distance 0.35-0.60)
METPO:1000677	ovoid shaped	False	False	0.5015	UNKNOWN	Ovoid shape	<http://purl.jp/bio/10/mpo#MPO_01013>	Ovoid-shaped; Ovoid	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_01013>	medium	Manual review recommended (distance 0.35-0.60)
METPO:1000678	oval shaped	False	False	0.6304	PATO	V-shaped	http://purl.obolibrary.org/obo/PATO_0002224			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000679	pleomorphic shaped	False	False	0.3425	UNKNOWN	Pleomorphic shape	<http://purl.jp/bio/10/mpo#MPO_01014>	Pleomorphic-shaped; Pleomorphic	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_01014>	high	Auto-propose (distance < 0.35)
METPO:1000680	ring shaped	False	False	0.3661	PATO	ring shaped	http://purl.obolibrary.org/obo/PATO_0002539	annular; ring-shaped	PATO:http://purl.obolibrary.org/obo/PATO_0002539	medium	Manual review recommended (distance 0.35-0.60)
METPO:1000681	rod shaped	False	False	0.7214	PATO	bullet-shaped	http://purl.obolibrary.org/obo/PATO_0002087			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000682	spore shaped	False	False	0.3329	FLOPO	plant spore shape	http://purl.obolibrary.org/obo/FLOPO_0009935			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000683	sphere shaped	False	False	0.6576	FLOPO	stem spherical	http://purl.obolibrary.org/obo/FLOPO_0011958			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000684	spiral shaped	False	False	0.5052	UNKNOWN	Spiral	<http://purl.jp/bio/10/mpo#MPO_01018>	Spiral-shaped; Spiral	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_01018>	medium	Manual review recommended (distance 0.35-0.60)
METPO:1000685	star shaped	False	False	0.3827	FLOPO	style star shaped	http://purl.obolibrary.org/obo/FLOPO_0012311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000686	vibrio shaped	False	False	0.2884	UNKNOWN	Vibrio shape	<http://purl.jp/bio/10/mpo#MPO_01022>	Vibrio-shaped; Vibrio	UNKNOWN:<http://purl.jp/bio/10/mpo#MPO_01022>	high	Auto-propose (distance < 0.35)
METPO:1000687	branched shaped	False	False	0.302	PATO	branched	http://purl.obolibrary.org/obo/PATO_0000402			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000688	coccobacillus shaped	False	False	0.4414	MICRO	coccobacillus	http://purl.obolibrary.org/obo/MICRO_0000366	sub-coccoidal; subspherical; subcoccoidal	MICRO:http://purl.obolibrary.org/obo/MICRO_0000366	medium	Manual review recommended (distance 0.35-0.60)
METPO:1000689	disc shaped	False	False	0.6054	PATO	discoid	http://purl.obolibrary.org/obo/PATO_0001874	disc-shaped; disk-shaped	PATO:http://purl.obolibrary.org/obo/PATO_0001874	low	Low confidence - manual definition preferred
METPO:1000690	fusiform shaped	False	False	0.1192	PATO	fusiform	http://purl.obolibrary.org/obo/PATO_0002400			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000691	irregular shaped	False	False	0.0977	PATO	irregularly shaped	http://purl.obolibrary.org/obo/PATO_0005020			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000692	spindle shaped	False	False	0.05	PATO	spindle-shaped	http://purl.obolibrary.org/obo/PATO_0001409			high	Auto-propose (distance < 0.35) - but no definition available in match
