metpo_id	metpo_label	definition	definition_length	source_iri	source_ontology	source_label	similarity_score	match_type	rank
METPO:1000531	pH phenotype with numerical limits	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.	378	http://purl.obolibrary.org/obo/OMP_0005008	omp	pH effects on population growth phenotype	0.223336	broadMatch	1
METPO:1000532	salinity phenotype with numerical limits	Changed hyperosmotic salinity response.	39	http://purl.obolibrary.org/obo/UPHENO_0050426	upheno	hyperosmotic salinity response phenotype	0.22735	broadMatch	14
METPO:1000601	oxygen preference	The ability of an organism to survive and grow in the presence or absence of oxygen, ranging from obligate aerobes to obligate anaerobes, as well as facultative anaerobes.	171	<https://purl.dsmz.de/schema/OxygenTolerance>	d3o	Oxygen Tolerance	0.200411	broadMatch	20
METPO:1000602	aerobic	aerobic organism; an organism that can survive and grow in an oxygenated environment	84	http://purl.obolibrary.org/obo/ECOCORE_00000173	ecocore	aerobe	0.445676	broadMatch	12
METPO:1000604	microaerophilic	microaerophilic organism; an aerobe that can grow at oxygen levels lower than what is present in the atmosphere	111	http://purl.obolibrary.org/obo/ECOCORE_00000180	ecocore	microaerophile	0.595977	broadMatch	6
METPO:1000605	facultatively anaerobic	facultative anaerobic organism; an anaerobe that makes ATP by aerobic respiration if oxygen is present, but is capable of switching to fermentation if oxygen is absent.	168	http://purl.obolibrary.org/obo/ECOCORE_00000177	ecocore	facultative anaerobe	0.452371	broadMatch	8
METPO:1000606	obligately aerobic	an aerobe that requires oxygen to grow	38	http://purl.obolibrary.org/obo/ECOCORE_00000179	ecocore	obligate aerobe	0.459605	broadMatch	9
METPO:1000607	obligately anaerobic	an anaerobe that cannot grow in the presence of oxygen	54	http://purl.obolibrary.org/obo/ECOCORE_00000178	ecocore	obligate anaerobe	0.606081	broadMatch	5
METPO:1000608	facultatively aerobic	facultative anaerobic organism; an anaerobe that makes ATP by aerobic respiration if oxygen is present, but is capable of switching to fermentation if oxygen is absent.	168	http://purl.obolibrary.org/obo/ECOCORE_00000177	ecocore	facultative anaerobe	0.419362	broadMatch	9
METPO:1000609	aerotolerant	an anaerobe that can tolerate low levels of oxygen	50	http://purl.obolibrary.org/obo/ECOCORE_00000181	ecocore	aerotolerant anaerobe	0.570889	broadMatch	6
METPO:1000610	microaerotolerant	an anaerobe that can tolerate low levels of oxygen	50	http://purl.obolibrary.org/obo/ECOCORE_00000181	ecocore	aerotolerant anaerobe	0.463681	broadMatch	9
METPO:1000612	facultative oxygen preference	facultative aerobe; A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	184	http://purl.obolibrary.org/obo/OMP_0000087	omp	facultative anaerobe	0.382355	broadMatch	6
METPO:1000614	psychrophilic	A population growth phenotype where growth of a microbial population can occur at 0 C and optimal growth occurs at temperatures of 15 C or lower.	145	<http://purl.obolibrary.org/obo/OMP_0005007>	omp	psychrophile	0.576853	broadMatch	6
METPO:1000615	mesophilic	Mesophile; A mibrobial organism that thrives at moderate temperature, typically between 20 and 45 C (68 and 113 F).	115	<http://purl.jp/bio/10/mpo#MPO_03022>	mpo	Mesophilic	0.474831	broadMatch	8
METPO:1000616	thermophilic	Thermophile; A microbial organism that thrives at relatively high temperatures, between 45 and 122 C (113 and 252 F).	117	<http://purl.jp/bio/10/mpo#MPO_03001>	mpo	Thermophilic	0.497216	broadMatch	16
METPO:1000617	hyperthermophilic	Hyperthermophile; A subset of obligate thermophiles for which optimal growth temperatures are above 80C.	104	<http://purl.jp/bio/10/mpo#MPO_03002>	mpo	Hyperthermophilic	0.485776	broadMatch	13
METPO:1000618	psychrotolerant	Psychrotrophic microbes are cold-tolerant bacteria or archaea that can grow or even thrive in a cold environment although their optimal growth temperatures are between above 15 C and below 20 C. Their maximal growth temperatures are below 20 C.	244	<http://purl.jp/bio/10/mpo#MPO_03019>	mpo	Psychrotrophile	0.294486	broadMatch	6
METPO:1000619	thermotolerant	The ability to survive a period of exposure to extremely high temperature (heat shock).	87	http://purl.obolibrary.org/obo/APO_0000093	apo	thermotolerance	0.459573	broadMatch	9
METPO:1000621	haloalkaliphilic	Basophile; Alkalophile; Alkaliphile; Alkalinophile	50	<http://purl.jp/bio/10/mpo#MPO_03011>	mpo	Alkaliphilic	0.317808	broadMatch	17
METPO:1000622	halotolerant	an anaerobe that can tolerate low levels of oxygen	50	http://purl.obolibrary.org/obo/ECOCORE_00000181	ecocore	aerotolerant anaerobe	0.219232	broadMatch	20
METPO:1000630	biological process	A process occurring in living organisms.	40	http://purl.obolibrary.org/obo/ExO_0000024	exo	biological process	0.657429	relatedMatch	3
METPO:1000631	trophic type	A process during which a living entity acquires or generates food and energy from a living, dead, or non-living entity.	119	http://purl.obolibrary.org/obo/ECOCORE_00000008	ecocore	trophic process	0.249218	broadMatch	1
METPO:1000632	autotrophic	A function which inheres in a living entity by virtue of that entity being able to harvest energy and create biomass from non-living materials.	143	http://purl.obolibrary.org/obo/ECOCORE_00000006	ecocore	autotrophic function	0.334521	broadMatch	12
METPO:1000634	chemoautolithotrophic	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	92	http://purl.obolibrary.org/obo/ECOCORE_00000123	ecocore	chemoorganoautotroph	0.50141	broadMatch	17
METPO:1000635	chemoautotrophic	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	92	http://purl.obolibrary.org/obo/ECOCORE_00000123	ecocore	chemoorganoautotroph	0.555897	broadMatch	13
METPO:1000636	chemoheterotrophic	A chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor.	96	http://purl.obolibrary.org/obo/ECOCORE_00000128	ecocore	chemolithoheterotroph	0.480394	broadMatch	18
METPO:1000637	chemolithoautotrophic	A chemoautotroph which is capable of using an abiogenic organic compound as an electron donor.	94	http://purl.obolibrary.org/obo/ECOCORE_00000124	ecocore	chemolithoautotroph	0.595565	broadMatch	11
METPO:1000638	chemolithoheterotrophic	A chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor.	96	http://purl.obolibrary.org/obo/ECOCORE_00000128	ecocore	chemolithoheterotroph	0.556067	broadMatch	14
METPO:1000639	chemolithotrophic	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.	92	http://purl.obolibrary.org/obo/OMP_0007110	omp	chemolithotrophic	0.466618	broadMatch	17
METPO:1000640	chemoorganoheterotrophic	A chemoheterotroph which is capable of using a biogenic organic compound as an electron donor.	94	http://purl.obolibrary.org/obo/ECOCORE_00000127	ecocore	chemoorganoheterotroph	0.58284	broadMatch	12
METPO:1000644	heterotrophic	A function which inheres in a living entity by virtue of that entity being able to feed on living or once-living (dead) material.	129	http://purl.obolibrary.org/obo/ECOCORE_00000005	ecocore	heterotrophic function	0.367424	broadMatch	11
METPO:1000652	mixotrophic	An organism which is capable of heterotrophic and autotrophic trophic processes.	80	http://purl.obolibrary.org/obo/ECOCORE_00000012	ecocore	mixotroph	0.446284	broadMatch	6
METPO:1000654	oligotrophic	Water which has very low concentrations of nutrients.	53	http://purl.obolibrary.org/obo/ENVO_00002223	envo	oligotrophic water	0.563314	broadMatch	4
METPO:1000655	organotrophic	A trophic process during which a living entity acquires reducing equivalents from organic chemicals for use in biosynthesis or energy conservation via aerobic or anaerobic respiration.	184	http://purl.obolibrary.org/obo/ECOCORE_00000162	ecocore	organotrophy	0.392718	broadMatch	6
METPO:1000659	photoorganoheterotrophic	A photoheterotroph which is capable of using a biogenic organic compound as an electron donor.	94	http://purl.obolibrary.org/obo/ECOCORE_00000125	ecocore	photoorganoheterotroph	0.575627	broadMatch	10
METPO:1000663	chemoorganotrophic	organotroph; A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	102	http://purl.obolibrary.org/obo/OMP_0007111	omp	chemoorganotrophic	0.527498	broadMatch	13
METPO:1000666	cell shape	shape of cell; The shape of a cell.	35	http://purl.obolibrary.org/obo/OBA_0000052	go	cell shape	0.496565	broadMatch	6
METPO:1000667	bacillus shaped	bacillus; A cylindrical cell phenotype where an organism has rod-shaped cells.	78	http://purl.obolibrary.org/obo/OMP_0000076	omp	rod-shaped cells	0.291559	broadMatch	5
METPO:1000668	coccus shaped	spherical-shaped; A spheroid cell phenotype where a cell is spherical or nearly spherical.	90	<http://purl.obolibrary.org/obo/OMP_0000075>	omp	coccus	0.571573	broadMatch	2
METPO:1000669	crescent shaped	crescentic; bow-shaped; lunate	30	http://purl.obolibrary.org/obo/PATO_0001870	upheno	crescent-shaped	0.477949	broadMatch	4
METPO:1000671	diplococcus shaped	A cell arrangement phenotype where an organism forms pairs of coccus cells, which arise from a division event in one plane.	123	<http://purl.obolibrary.org/obo/OMP_0000117>	omp	diplococcus	0.392774	broadMatch	2
METPO:1000672	dumbbell shaped	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's having two parts, roughly spherical and of equal size, connected by a bar.	149	http://purl.obolibrary.org/obo/PATO_0001876	flopo	dumbbell-shaped	0.410699	broadMatch	2
METPO:1000673	ellipsoidal	ellipse-shaped; ellipsoid; elliptical; oval; ovoid	50	http://purl.obolibrary.org/obo/PATO_0000947	upheno	elliptic	0.433709	broadMatch	1
METPO:1000675	flask shaped	Flask; flask; A container with a base wider than the narrow neck traditionally used for holding liquids.	104	http://purl.obolibrary.org/obo/NCIT_C96144	mco	flask	0.464021	broadMatch	2
METPO:1000676	helical shaped	spiral; helical; helicoid; helicoidal; helix-shaped	51	http://purl.obolibrary.org/obo/PATO_0000404	upheno	coiled	0.445839	broadMatch	2
METPO:1000677	ovoid shaped	egg-shaped; oval; ovoid; eccentric	34	http://purl.obolibrary.org/obo/PATO_0001891	upheno	ovate	0.460382	broadMatch	2
METPO:1000679	pleomorphic shaped	Pleomorphic-shaped; Pleomorphic	31	<http://purl.jp/bio/10/mpo#MPO_01014>	mpo	Pleomorphic shape	0.657461	relatedMatch	1
METPO:1000680	ring shaped	annular; ring-shaped; A shape quality inhering in a bearer by virtue of the bearer's having a shape like a ring (a circular shape enclosing a space).	149	http://purl.obolibrary.org/obo/PATO_0002539	flopo	ring shaped	0.437768	broadMatch	4
METPO:1000681	rod shaped	rod-like; rod-shaped; tubulate	30	http://purl.obolibrary.org/obo/PATO_0001873	upheno	cylindrical	0.204055	broadMatch	7
METPO:1000683	sphere shaped	orb; A cell morphology phenotype in which a cell is formed in the shape of a sphere.	84	http://purl.obolibrary.org/obo/FYPO_0001956	fypo	spherical cell	0.222992	broadMatch	11
METPO:1000684	spiral shaped	spiral; helical; helicoid; helicoidal; helix-shaped	51	http://purl.obolibrary.org/obo/PATO_0000404	upheno	coiled	0.359694	broadMatch	3
METPO:1000685	star shaped	stellate; A shape quality inhering in a bearer by virtue of the bearer's being arranged like rays or radii; radiating from a common center.	139	http://purl.obolibrary.org/obo/PATO_0002065	cmpo	star shaped	0.468073	broadMatch	7
METPO:1000686	vibrio shaped	A spiral cell shape phenotype where a rod-shaped cell is curved to form a comma-like shape or incomplete spiral.	112	<http://purl.obolibrary.org/obo/OMP_0000077>	omp	vibrio	0.474851	broadMatch	5
METPO:1000688	coccobacillus shaped	sub-coccoidal; subspherical; subcoccoidal	41	http://purl.obolibrary.org/obo/MICRO_0000366	micro	coccobacillus	0.558586	broadMatch	1
METPO:1000689	disc shaped	disc-shaped; disk-shaped; A shape quality inhering in a bearer by virtue of the bearer's being cylindrical, in which the height is less than the diameter.	154	http://purl.obolibrary.org/obo/PATO_0001874	cl	discoid	0.249251	broadMatch	4
METPO:1000690	fusiform shaped	Having a spindle-like shape that is wide in the middle and tapers at both ends.	79	http://purl.obolibrary.org/obo/PATO_0002400	flopo	fusiform	0.643251	broadMatch	4
METPO:1000691	irregular shaped	A shape quality inhering on a bearer by virtue of a bearer's shape lacking in pattern or uniformity; for example, it may have sides of different lengths, different curvatures, or unequal angles.	194	http://purl.obolibrary.org/obo/PATO_0005020	flopo	irregularly shaped	0.470952	broadMatch	6
METPO:1000693	spirochete shaped	A spiral cell shape phenotype where a cell forms a flexible spiral.	67	<http://purl.obolibrary.org/obo/OMP_0000125>	omp	spirochete	0.53469	broadMatch	4
METPO:1000694	square shaped	square face shape; square faces; square facial shape	52	http://purl.obolibrary.org/obo/MP_0030073	upheno	square face	0.207746	broadMatch	11
METPO:1000695	tailed shaped	shape of tail; The shape of a tail.	35	http://purl.obolibrary.org/obo/OBA_VT0003051	oba	tail shape trait	0.341997	broadMatch	2
METPO:1000696	triangular shaped	deltoid; delta shaped; triangle; triangle-shaped	48	http://purl.obolibrary.org/obo/PATO_0001875	upheno	triangular	0.478188	broadMatch	2
METPO:1000697	gram stain	Gram staining is a method for staining and identifying bacteria. It is based on the differential retention of a crystal violet-iodine complex within the cell membrane. The cell wall of gram-positive cells have a thick peptidoglycan layer that retains crystal violet after an alcohol wash (staining black-blue or purple by a counterstain). The cell wall of gram-negative cells have a thinner peptidoglycan layer that does not retain crystal violet after an alcohol wash (staining red after counterstain). Some cells have variable staining in culture (e.g. Bacillus, Clostridium) while others have indeterminate staining due to unique aspects of their cell membrane or wall (e.g. Mycobacterium, Mycoplasma).	705	http://purl.obolibrary.org/obo/NCIT_23014	aro	gram stain	0.386846	broadMatch	4
METPO:1000698	gram positive	Bacteria that retain the crystal violet stain used in Gram staining. Gram-positive bacteria have a thick peptidoglycan layer in their cell walls.	145	<https://purl.dsmz.de/schema/GramPositiveBacteria>	d3o	Gram Positive Bacteria	0.285601	broadMatch	6
METPO:1000699	gram negative	Bacteria that do not retain the crystal violet stain used in Gram staining. Gram-negative bacteria have an outer membrane and are often resistant to certain antibiotics.	169	<https://purl.dsmz.de/schema/GramNegativeBacteria>	d3o	Gram Negative Bacteria	0.252825	broadMatch	7
METPO:1000701	motility	The ability of cells to move by themselves using mechanisms such as flagella, cilia, or pseudopodia. Motility is an important characteristic for distinguishing microorganisms and understanding their behavior.	208	<https://purl.dsmz.de/schema/CellMotility>	d3o	Cell Motility	0.37357	broadMatch	20
METPO:1000702	motile	A cell that moves by its own activities.	40	http://purl.obolibrary.org/obo/CL_0000219	cl	motile cell	0.499944	broadMatch	8
METPO:1000703	non motile	A sperm cell that is not cabaple of motion (motility).	54	http://purl.obolibrary.org/obo/CL_0011014	cl	non-motile sperm cell	0.323698	broadMatch	13
METPO:1000704	flagellated	A motile sperm cell that contains a slender threadlike microscopic appendage that enables motion.	97	http://purl.obolibrary.org/obo/CL_0011016	cl	flagellated sperm cell	0.427634	broadMatch	6
METPO:1000706	gliding	cell gliding motility; Cell motility that results in the smooth movement of a cell along a solid surface.	105	http://purl.obolibrary.org/obo/GO_0071976	go	cell gliding	0.24334	broadMatch	4
METPO:1000721	extreme hyperthermophilic	A habitat characterized by an average temperature of at least 80deg C. Inhabited by hyperthermophilic organisms.	112	http://purl.obolibrary.org/obo/ENVO_00002027	envo	obsolete extreme high temperature habitat	0.499491	broadMatch	8
METPO:1000731	nutrient adaptation	The ability to utilize specified substances as nutrients.	57	http://purl.obolibrary.org/obo/APO_0000096	apo	nutrient utilization	0.219717	broadMatch	10
METPO:1000800	respiration	The number of breaths taken by an organism per unit of time.	60	http://purl.obolibrary.org/obo/CMO_0000289	eupath	respiration rate	0.282623	broadMatch	9
METPO:1000801	Aerobic respiration	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.	161	http://purl.obolibrary.org/obo/GO_0009060	ecocore	aerobic respiration	0.379216	broadMatch	10
METPO:1000802	Anaerobic respiration	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which uses compounds other than oxygen (e.g. nitrate, sulfate) as the terminal electron acceptor.	202	http://purl.obolibrary.org/obo/GO_0009061	ecocore	anaerobic respiration	0.408325	broadMatch	18
METPO:1000803	Oxidative phosphorylation	respiratory-chain phosphorylation	33	http://purl.obolibrary.org/obo/GO_0006119	upheno	oxidative phosphorylation	0.417232	broadMatch	5
METPO:1000805	Electron transfer	electron acceptor activity; electron donor activity; electron carrier; electron transporter activity; A molecular function representing the directed movement of electrons from one molecular entity to another, typically mediated by electron carriers or acceptors, resulting in the transfer of energy and/or the reduction-oxidation (redox) transformation of chemical species. This activity is fundamental to various biological processes, including cellular respiration and photosynthesis, as well as numerous enzymatic reactions involved in metabolic pathways.	558	http://purl.obolibrary.org/obo/GO_0009055	fypo	electron transfer activity	0.250261	broadMatch	3
METPO:1000844	Methanogenesis	methane biosynthesis from methanol; methane biosynthetic process from methanol; The formation of methane, a colorless, odorless, flammable gas with the formula CH4, from other components, including methanol.	207	http://purl.obolibrary.org/obo/GO_0019387	micro	methanogenesis, from methanol	0.386095	broadMatch	20
METPO:1000845	Acetogenesis	acetoin metabolism; The chemical reactions and pathways involving acetoin, 3-hydroxy-2-butanone, often as part of a fermentation pathway or for use as a carbon source.	167	http://purl.obolibrary.org/obo/GO_0045149	go	acetoin metabolic process	0.235946	broadMatch	19
METPO:1000870	sporulation	The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction.	287	http://purl.obolibrary.org/obo/GO_0043934	micro	sporulation	0.575574	broadMatch	3
METPO:1000881	cell length	length of cell; The length of a cell.	37	http://purl.obolibrary.org/obo/OBA_2040145	go	cell length	0.490057	broadMatch	3
METPO:1000882	cell width	width of cell; The width of a cell.	35	http://purl.obolibrary.org/obo/OBA_2040146	oba	cell width	0.557399	broadMatch	2
METPO:1000886	cell length large	length of cell; The length of a cell.	37	http://purl.obolibrary.org/obo/OBA_2040145	go	cell length	0.260263	broadMatch	11
METPO:1000888	cell width small	A width which is relatively small.	34	http://purl.obolibrary.org/obo/PATO_0000599	foodon	decreased width	0.24143	broadMatch	7
METPO:1000889	cell width medium	width of cell; The width of a cell.	35	http://purl.obolibrary.org/obo/OBA_2040146	oba	cell width	0.232272	broadMatch	7
METPO:1000890	cell width large	width of cell; The width of a cell.	35	http://purl.obolibrary.org/obo/OBA_2040146	oba	cell width	0.25532	broadMatch	8
METPO:1001007	growth NaCl observation	normal cell population growth in presence of sodium chloride; normal cell population growth on sodium chloride; normal growth on NaCl; normal vegetative cell population growth on sodium chloride; normal cellular response to sodium chloride; A phenotype in which vegetative cell population growth is normal (i.e. indistinguishable from wild type) in a medium containing sodium chloride, usually at a higher level than in standard media.	435	http://purl.obolibrary.org/obo/FYPO_0006717	fypo	normal growth on sodium chloride	0.216816	broadMatch	6
METPO:1001013	optimum pH observation	Optimal growth pH of a microbe	30	<http://purl.jp/bio/10/mpo#MPO_00108>	mpo	Optimal growth pH	0.233627	broadMatch	11
METPO:1001016	optimum oxygen observation	high blood oxygen saturation level	34	http://purl.obolibrary.org/obo/MP_0031069	upheno	increased blood oxygen saturation level	0.208077	broadMatch	13
METPO:1001017	growth oxygen observation	oxygen content with high oxygen concentration	45	http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000188	mco	hyperoxia	0.233637	broadMatch	11
METPO:1002005	Fermentation	The anaerobic enzymatic conversion of organic compounds, especially carbohydrates, coupling the oxidation and reduction of NAD/H and the generation of adenosine triphosphate (ATP).	180	http://purl.obolibrary.org/obo/GO_0006113	ecocore	fermentation	0.302925	broadMatch	17
METPO:1003000	pH growth preference	Optimal growth pH of a microbe	30	<http://purl.jp/bio/10/mpo#MPO_00108>	mpo	Optimal growth pH	0.384396	broadMatch	10
METPO:1003003	acidophilic	An affinity inhering in an anatomical structure by virtue of the bearer exhibiting a molecular interaction for acidic dyes under specific pH conditions.	152	http://purl.obolibrary.org/obo/PATO_0002418	ecocore	acidophilic	0.433681	broadMatch	7
METPO:1003008	acidotolerant	an anaerobe that can tolerate low levels of oxygen	50	http://purl.obolibrary.org/obo/ECOCORE_00000181	ecocore	aerotolerant anaerobe	0.274815	broadMatch	7
METPO:1003021	pigmentation	The accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells.	123	http://purl.obolibrary.org/obo/GO_0043473	cl	pigmentation	0.437075	broadMatch	15
