metpo_id	metpo_label	rank	source	definition	definition_length	source_iri	source_ontology	source_label	match_type	confidence	quality_label	quality_score	total_score
METPO:1000232	pH delta	4	api_search	A measurement datum that is a logarithmic scale used to specify the acidity or basicity of an aqueous solution. It is the negative of the base 10 logarithm of the activity of the hydrogen ion. At 25 °C, solutions with a pH less than 7 are acidic and solutions with a pH greater than 7 are basic.	295	http://purl.obolibrary.org/obo/OHMI_0000464	ohmi	pH value	closeMatch	0.5	good	6	7.0
METPO:1000232	pH delta	5	api_search	An electronic device used to measure the alkalinity or acidity of a liquid or semi-solid substance.	99	http://purl.obolibrary.org/obo/NCIT_C122172	ncit	pH Meter	closeMatch	0.625	good	5	6.25
METPO:1000304	temperature optimum	1	api_search	Describes the degree of heat in an environment or cultivation, which can influence biological processes, metabolic rates, and organism survival. Temperature is a key factor in defining the suitable living conditions for many organisms.	235	https://purl.dsmz.de/schema/Temperature	D3O	Temperature	closeMatch	0.7333333333333334	excellent	9	10.466666666666667
METPO:1000304	temperature optimum	2	api_search	A variability quality inhering in a bearer by virtue of the bearer's having or exhibiting variation of temperature.	115	http://purl.obolibrary.org/obo/PATO_0001314	pato	variant temperature	closeMatch	0.5789473684210527	excellent	9	10.157894736842106
METPO:1000304	temperature optimum	3	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5789473684210527	excellent	9	10.157894736842106
METPO:1000304	temperature optimum	4	api_search	A variability quality inhering in a bearer by virtue of the bearer's lacking or not exhibiting variation of temperature.	120	http://purl.obolibrary.org/obo/PATO_0001313	pato	invariant temperature	closeMatch	0.55	excellent	9	10.1
METPO:1000304	temperature optimum	5	sssom	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	<https://purl.dsmz.de/schema/OptimumTemperature>	d3o	Optimum Temperature	broadMatch	0.302038	excellent	9	9.604076
METPO:1000331	pH optimum	1	sssom	Optimal growth pH of a microbe	30	<http://purl.jp/bio/10/mpo#MPO_00108>	mpo	Optimal growth pH	broadMatch	0.228817	poor	2	2.457634
METPO:1000334	NaCl range	1	api_search	An environmental zone that encompasses the geographical area in which most members of a species as collection of organisms can be found.	136	http://purl.obolibrary.org/obo/ECOCORE_3000001	ecocore	species range	closeMatch	0.6086956521739131	excellent	8	9.217391304347826
METPO:1000334	NaCl range	2	api_search	A range of mounts which is dominated by mountains.	50	http://purl.obolibrary.org/obo/ENVO_00000080	envo	mountain range	closeMatch	0.6666666666666667	good	7	8.333333333333334
METPO:1000334	NaCl range	3	api_search	The largest difference between, or ratio of, an instrument's or method's highest and lowest value in a set, such as pixel (voxel) values in an image.	149	http://purl.obolibrary.org/obo/NCIT_C94889	ncit	Dynamic Range	closeMatch	0.782608695652174	good	6	7.565217391304348
METPO:1000334	NaCl range	4	api_search	MIC is a range of two MIC values (e.g., given 10 clinical isolates with a resistance determinant, there are 5 that have an MIC of 25ug/mL and 5 that have an MIC of 100ug/mL agaisnt tobramycin).	193	http://purl.obolibrary.org/obo/ARO_3004523	aro	MIC range	closeMatch	0.736842105263158	good	6	7.473684210526316
METPO:1000334	NaCl range	5	api_search	A range of mounts which is dominated by hills.	46	http://purl.obolibrary.org/obo/ENVO_00000082	envo	hill range	closeMatch	0.7	good	6	7.4
METPO:1000442	temperature optimum low	1	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5238095238095238	excellent	9	10.047619047619047
METPO:1000442	temperature optimum low	2	sssom	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	<https://purl.dsmz.de/schema/OptimumTemperature>	d3o	Optimum Temperature	broadMatch	0.202491	excellent	9	9.404982
METPO:1000442	temperature optimum low	3	api_search	A physical quality of the thermal energy of a system.	53	http://purl.obolibrary.org/obo/PATO_0000146	pato	temperature	closeMatch	0.6470588235294117	excellent	8	9.294117647058822
METPO:1000442	temperature optimum low	4	api_search	A measure of the average kinetic energy of a system of particles. Temperature may be quantified, in the context of thermodynamics, as the potential of one system to transfer thermal energy to another system until both systems reach a state of thermal equilibrium.	263	http://purl.obolibrary.org/obo/NCIT_C25206	ncit	Temperature	closeMatch	0.6470588235294117	good	7	8.294117647058822
METPO:1000442	temperature optimum low	5	api_search	The property of objects that determines the direction of heat flow when they are placed in direct thermal contact. The temperature is the energy of microscopic motions (vibrational and translational) of the particles of atoms.	226	http://id.nlm.nih.gov/mesh/D013696	mesh	Temperature	closeMatch	0.6470588235294117	good	7	8.294117647058822
METPO:1000443	temperature optimum mid1	1	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5116279069767442	excellent	9	10.023255813953488
METPO:1000443	temperature optimum mid1	2	api_search	A homeostatic process in which an organism modulates its internal body temperature.	83	http://purl.obolibrary.org/obo/GO_0001659	go	temperature homeostasis	closeMatch	0.6382978723404256	excellent	8	9.27659574468085
METPO:1000443	temperature optimum mid1	3	api_search	A physical quality of the thermal energy of a system.	53	http://purl.obolibrary.org/obo/PATO_0000146	pato	temperature	closeMatch	0.6285714285714286	excellent	8	9.257142857142856
METPO:1000443	temperature optimum mid1	4	api_search	A measure of the average kinetic energy of a system of particles. Temperature may be quantified, in the context of thermodynamics, as the potential of one system to transfer thermal energy to another system until both systems reach a state of thermal equilibrium.	263	http://purl.obolibrary.org/obo/NCIT_C25206	ncit	Temperature	closeMatch	0.6285714285714286	good	7	8.257142857142856
METPO:1000443	temperature optimum mid1	5	api_search	The property of objects that determines the direction of heat flow when they are placed in direct thermal contact. The temperature is the energy of microscopic motions (vibrational and translational) of the particles of atoms.	226	http://id.nlm.nih.gov/mesh/D013696	mesh	Temperature	closeMatch	0.6285714285714286	good	7	8.257142857142856
METPO:1000447	temperature optimum high	1	sssom	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	<https://purl.dsmz.de/schema/OptimumTemperature>	d3o	Optimum Temperature	broadMatch	0.237398	excellent	9	9.474796
METPO:1000467	NaCl optimum mid2	1	api_search	The salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	160	https://purl.dsmz.de/schema/OptimumSalinity	D3O	Optimum Salinity	closeMatch	0.5454545454545454	excellent	9	10.09090909090909
METPO:1000467	NaCl optimum mid2	2	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5	excellent	9	10.0
METPO:1000467	NaCl optimum mid2	3	api_search	The best or most suitable; the greatest degree attainable.	58	http://purl.obolibrary.org/obo/NCIT_C75911	ncit	Optimum	closeMatch	0.5833333333333333	good	5	6.166666666666666
METPO:1000467	NaCl optimum mid2	4	api_search	The best or most suitable; the greatest degree attainable.	58	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75911	NCIT	Optimum	closeMatch	0.5833333333333333	good	5	6.166666666666666
METPO:1000467	NaCl optimum mid2	5	api_search	Fraction of the optimum solution which must be maintained.	58	http://www.biomodels.net/kisao/KISAO#KISAO_0000531	KISAO	fraction of optimum	closeMatch	0.5555555555555556	poor	2	3.111111111111111
METPO:1000468	NaCl optimum high	1	api_search	The salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	160	https://purl.dsmz.de/schema/OptimumSalinity	D3O	Optimum Salinity	closeMatch	0.5454545454545454	excellent	9	10.09090909090909
METPO:1000468	NaCl optimum high	2	api_search	The best or most suitable; the greatest degree attainable.	58	http://purl.obolibrary.org/obo/NCIT_C75911	ncit	Optimum	closeMatch	0.5833333333333333	good	5	6.166666666666666
METPO:1000468	NaCl optimum high	3	api_search	The best or most suitable; the greatest degree attainable.	58	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75911	NCIT	Optimum	closeMatch	0.5833333333333333	good	5	6.166666666666666
METPO:1000468	NaCl optimum high	4	api_search	Fraction of the optimum solution which must be maintained.	58	http://www.biomodels.net/kisao/KISAO#KISAO_0000531	KISAO	fraction of optimum	closeMatch	0.5555555555555556	poor	2	3.111111111111111
METPO:1000472	NaCl range high	1	api_search	MIC is a range of two MIC values (e.g., given 10 clinical isolates with a resistance determinant, there are 5 that have an MIC of 25ug/mL and 5 that have an MIC of 100ug/mL agaisnt tobramycin).	193	http://purl.obolibrary.org/obo/ARO_3004523	aro	MIC range	closeMatch	0.5833333333333333	good	6	7.166666666666666
METPO:1000472	NaCl range high	2	api_search	An survival range is the contextual role of an description or specification of about an environment in which the operation of a system can or should operate without damaging the system. [Allotrope]	197	http://purl.allotrope.org/ontologies/role#AFRL_0000332	afo	survival range	closeMatch	0.5517241379310345	good	6	7.103448275862069
METPO:1000472	NaCl range high	3	api_search	"A generically dependent continuant that specifies a lower bound and an upper bound.
It can also specify whether each bound is included or not in the interval."	158	http://purl.obolibrary.org/obo/LABO_0000114	labo	range	closeMatch	0.5	good	6	7.0
METPO:1000472	NaCl range high	4	api_search	"A generically dependent continuant that specifies a lower bound and an upper bound.
It can also specify whether each bound is included or not in the interval."	158	http://purl.obolibrary.org/obo/LABO_0000114	LABO	range	closeMatch	0.5	good	6	7.0
METPO:1000472	NaCl range high	5	api_search	A quantitative confidence value that equals the difference between the largest and smallest observation.	104	http://purl.obolibrary.org/obo/OBCS_0000076	obcs	range	closeMatch	0.5	good	5	6.0
METPO:1000473	pH delta very low	1	api_search	An IPSS-M risk category for myelodysplastic syndrome in which the incidence of acute myeloid leukemia is very low.	114	http://purl.obolibrary.org/obo/NCIT_C217168	ncit	IPSS-M Risk Category Very Low	closeMatch	0.5217391304347826	good	6	7.043478260869565
METPO:1000473	pH delta very low	2	api_search	A very minimal level or position or degree; much less than normal in degree, intensity or amount.	97	http://purl.obolibrary.org/obo/NCIT_C199197	ncit	Very Low	closeMatch	0.64	good	5	6.28
METPO:1000473	pH delta very low	3	api_search	A very minimal level or position or degree; much less than normal in degree, intensity or amount.	97	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C199197	NCIT	Very Low	closeMatch	0.64	good	5	6.28
METPO:1000473	pH delta very low	4	api_search	A total IPSS-R score of 1.5 or lower, indicating very low risk.	63	http://purl.obolibrary.org/obo/NCIT_C162680	ncit	IPSS-R Risk Category Very Low	closeMatch	0.5217391304347826	good	5	6.043478260869565
METPO:1000473	pH delta very low	5	api_search	"SIREN DB annotation:
* semisolid FOODON:03430144
* partial fat removal process FOODON:03460247
* fat special claim or use FOODON:03510017"	137	http://purl.obolibrary.org/obo/FOODON_03316244	foodon	spread, very low fat	closeMatch	0.6486486486486487	adequate	3	4.297297297297297
METPO:1000476	pH delta mid2	1	api_search	Any process that increases the internal pH of an organism, part of an organism or a cell, measured by the concentration of the hydrogen ion.	140	http://purl.obolibrary.org/obo/GO_0045852	go	pH elevation	closeMatch	0.56	good	7	8.120000000000001
METPO:1000480	NaCl delta mid1	1	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	envo	delta	closeMatch	0.5	excellent	9	10.0
METPO:1000480	NaCl delta mid1	2	api_search	A change in or difference between; usually represented by the 4th letter of the greek alphabet.	95	http://purl.obolibrary.org/obo/NCIT_C54126	ncit	Delta	closeMatch	0.5	good	5	6.0
METPO:1000480	NaCl delta mid1	3	api_search	Growth medium supplemented with 2% (wt/vol) sodium chloride for testing susceptibility of Staphylococcus aureus to methicillin, oxacillin and nafcillin.	152	http://purl.obolibrary.org/obo/ARO_3004427	aro	NaCl supplemented medium	closeMatch	0.5128205128205128	adequate	4	5.0256410256410255
METPO:1000480	NaCl delta mid1	4	api_search	Growth medium supplemented with 2% (wt/vol) sodium chloride for testing susceptibility of Staphylococcus aureus to methicillin, oxacillin and nafcillin.	152	http://purl.obolibrary.org/obo/ARO_3004427	ARO	NaCl supplemented medium	closeMatch	0.5128205128205128	adequate	4	5.0256410256410255
METPO:1000481	NaCl delta mid2	1	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	envo	delta	closeMatch	0.5	excellent	9	10.0
METPO:1000481	NaCl delta mid2	2	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	ENVO	delta	closeMatch	0.5	excellent	9	10.0
METPO:1000481	NaCl delta mid2	3	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	BERO	delta	closeMatch	0.5	good	6	7.0
METPO:1000481	NaCl delta mid2	4	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	NMDCO	delta	closeMatch	0.5	good	6	7.0
METPO:1000481	NaCl delta mid2	5	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	FNS-H	delta	closeMatch	0.5	good	6	7.0
METPO:1000486	temperature delta mid2	1	api_search	A variability quality inhering in a bearer by virtue of the bearer's having or exhibiting variation of temperature.	115	http://purl.obolibrary.org/obo/PATO_0001314	pato	variant temperature	closeMatch	0.5365853658536586	excellent	9	10.073170731707318
METPO:1000486	temperature delta mid2	2	api_search	A variability quality inhering in a bearer by virtue of the bearer's lacking or not exhibiting variation of temperature.	120	http://purl.obolibrary.org/obo/PATO_0001313	pato	invariant temperature	closeMatch	0.5116279069767442	excellent	9	10.023255813953488
METPO:1000486	temperature delta mid2	3	api_search	A homeostatic process in which an organism modulates its internal body temperature.	83	http://purl.obolibrary.org/obo/GO_0001659	go	temperature homeostasis	closeMatch	0.7111111111111111	excellent	8	9.422222222222222
METPO:1000486	temperature delta mid2	4	api_search	A physical quality of the thermal energy of a system.	53	http://purl.obolibrary.org/obo/PATO_0000146	pato	temperature	closeMatch	0.6666666666666667	excellent	8	9.333333333333334
METPO:1000486	temperature delta mid2	5	api_search	A measure of the average kinetic energy of a system of particles. Temperature may be quantified, in the context of thermodynamics, as the potential of one system to transfer thermal energy to another system until both systems reach a state of thermal equilibrium.	263	http://purl.obolibrary.org/obo/NCIT_C25206	ncit	Temperature	closeMatch	0.6666666666666667	good	7	8.333333333333334
METPO:1000525	microbe	1	sssom	A broad class encompassing microscopic organisms that can be single-celled or multicellular. Microorganisms include bacteria, archaea, fungi, and protists. They play a crucial role in ecosystems, health, and biotechnology.	222	<https://purl.dsmz.de/schema/Microorganism>	d3o	Microorganism	broadMatch	0.245304	excellent	9	9.490608
METPO:1000525	microbe	2	sssom	An organism or virus or viron that is too small to be viewed by the unaided eye.	80	http://purl.obolibrary.org/obo/OHMI_0000460	ohmi	microbe	broadMatch	0.436916	adequate	4	4.873832
METPO:1000526	chemical entity	1	sssom	chemical entity; A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	150	http://purl.obolibrary.org/obo/CHEBI_24431	chebi	chemical entity	relatedMatch	0.672498	excellent	10	11.344996
METPO:1000526	chemical entity	2	sssom	chemical entity; A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	150	http://purl.obolibrary.org/obo/CHEBI_24431	pato	chemical entity	relatedMatch	0.672498	excellent	10	11.344996
METPO:1000526	chemical entity	3	sssom	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	133	http://purl.obolibrary.org/obo/CHEBI_24431	omp	chemical entity	relatedMatch	0.679622	excellent	9	10.359244
METPO:1000526	chemical entity	4	sssom	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	133	<http://purl.obolibrary.org/obo/CHEBI_24431>	omp	chemical entity	relatedMatch	0.679486	excellent	9	10.358972
METPO:1000526	chemical entity	5	sssom	chemical entity; A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	150	http://purl.obolibrary.org/obo/CHEBI_24431	envo	chemical entity	relatedMatch	0.672498	excellent	9	10.344996
METPO:1000531	pH phenotype with numerical limits	1	sssom	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.	378	http://purl.obolibrary.org/obo/OMP_0005008	omp	pH effects on population growth phenotype	broadMatch	0.223336	excellent	10	10.446672
METPO:1000532	salinity phenotype with numerical limits	1	sssom	The highest concentration of salt in an environment that an organism can tolerate without experiencing significant physiological stress or mortality.	149	<https://purl.dsmz.de/schema/MaximumSalinity>	d3o	Maximum Salinity	broadMatch	0.200091	excellent	8	8.400182
METPO:1000532	salinity phenotype with numerical limits	2	sssom	Changed hyperosmotic salinity response.	39	http://purl.obolibrary.org/obo/UPHENO_0050426	upheno	hyperosmotic salinity response phenotype	broadMatch	0.22735	adequate	4	4.4547
METPO:1000536	optimum phenotype with numerical limits	1	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5172413793103448	excellent	9	10.03448275862069
METPO:1000601	oxygen preference	1	sssom	The ability of an organism to survive and grow in the presence or absence of oxygen, ranging from obligate aerobes to obligate anaerobes, as well as facultative anaerobes.	171	<https://purl.dsmz.de/schema/OxygenTolerance>	d3o	Oxygen Tolerance	broadMatch	0.200411	excellent	9	9.400822
METPO:1000602	aerobic	1	sssom	A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	78	http://purl.obolibrary.org/obo/PATO_0001455	pato	aerobic	broadMatch	0.411402	excellent	8	8.822804
METPO:1000602	aerobic	2	sssom	A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	78	http://purl.obolibrary.org/obo/PATO_0001455	envo	aerobic	broadMatch	0.411402	good	7	7.822804
METPO:1000602	aerobic	3	sssom	A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	78	http://purl.obolibrary.org/obo/PATO_0001455	flopo	aerobic	broadMatch	0.411402	good	7	7.822804
METPO:1000602	aerobic	4	sssom	A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	78	http://purl.obolibrary.org/obo/PATO_0001455	micro	aerobic	broadMatch	0.411402	good	7	7.822804
METPO:1000602	aerobic	5	sssom	aerobic organism; an organism that can survive and grow in an oxygenated environment	84	http://purl.obolibrary.org/obo/ECOCORE_00000173	ecocore	aerobe	broadMatch	0.445676	good	5	5.891352
METPO:1000604	microaerophilic	1	api_search	"An oxygen growth range phenotype where growth and reproduction requires oxygen but at levels below that found in air (approx. 21%).

A microbial phenotype that describes a microorganism that requires O2 for growth, but doesn't grow in the presence of atmospheric levels of O2. Optimal growth of a microaerophile occurs in environments with xx% - xx% O2."	353	http://purl.obolibrary.org/obo/OMP_0000171	omp	microaerophile	closeMatch	0.896551724137931	excellent	10	11.793103448275861
METPO:1000604	microaerophilic	2	api_search	A population growth range phenotype where the ability of a microbial population to grow in a microaerophilic environment is altered relative to a designated control.	165	http://purl.obolibrary.org/obo/OMP_0005257	omp	altered microaerophilic population growth	closeMatch	0.5357142857142857	excellent	10	11.071428571428571
METPO:1000604	microaerophilic	3	api_search	A population growth range phenotype where the ability of a microbial population to grow in a microaerophilic environment is altered relative to a designated control.	165	http://purl.obolibrary.org/obo/OMP_0005257	OMP	altered microaerophilic population growth	closeMatch	0.5357142857142857	excellent	10	11.071428571428571
METPO:1000604	microaerophilic	4	api_search	A population growth range phenotype relating to the ability of a microbial population to grow when O2 levels are within the range xx-xx% O2, but does not grow at higher levels of O2 or in the absence of O2.	206	http://purl.obolibrary.org/obo/OMP_0005254	omp	microaerophilic population growth phenotype	closeMatch	0.5172413793103448	excellent	10	11.03448275862069
METPO:1000604	microaerophilic	5	api_search	An altered microaerophilic population growth phenotype where growth of a microbial population in a microaerophilic environment is increased relative to a designated control.	173	http://purl.obolibrary.org/obo/OMP_0007930	omp	increased microaerophilic population growth	closeMatch	0.5172413793103448	excellent	10	11.03448275862069
METPO:1000605	facultatively anaerobic	1	api_search	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	80	http://purl.obolibrary.org/obo/PATO_0001456	pato	anaerobic	closeMatch	0.5625	excellent	8	9.125
METPO:1000605	facultatively anaerobic	2	api_search	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	80	http://purl.obolibrary.org/obo/PATO_0001456	PATO	anaerobic	closeMatch	0.5625	excellent	8	9.125
METPO:1000605	facultatively anaerobic	3	sssom	facultative aerobe; A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	184	http://purl.obolibrary.org/obo/OMP_0000087	omp	facultative anaerobe	broadMatch	0.406371	excellent	8	8.812742
METPO:1000605	facultatively anaerobic	4	sssom	facultative aerobe; A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	184	<http://purl.obolibrary.org/obo/OMP_0000087>	omp	facultative anaerobe	broadMatch	0.40633	excellent	8	8.81266
METPO:1000605	facultatively anaerobic	5	api_search	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	80	http://purl.obolibrary.org/obo/PATO_0001456	ENVO	anaerobic	closeMatch	0.5625	good	7	8.125
METPO:1000606	obligately aerobic	1	sssom	an anaerobe that cannot grow in the presence of oxygen	54	http://purl.obolibrary.org/obo/ECOCORE_00000178	ecocore	obligate anaerobe	broadMatch	0.425812	good	7	7.851624
METPO:1000606	obligately aerobic	2	sssom	strict aerobe; A microbial phenotype that describes a microorganism that requires the presence of oxygen gas (O2) for growth.	125	<http://purl.obolibrary.org/obo/OMP_0000185>	omp	obligate aerobe	broadMatch	0.402869	good	7	7.805738
METPO:1000606	obligately aerobic	3	sssom	strict aerobe; A microbial phenotype that describes a microorganism that requires the presence of oxygen gas (O2) for growth.	125	http://purl.obolibrary.org/obo/OMP_0000185	omp	obligate aerobe	broadMatch	0.402706	good	7	7.8054120000000005
METPO:1000606	obligately aerobic	4	sssom	an aerobe that requires oxygen to grow	38	http://purl.obolibrary.org/obo/ECOCORE_00000179	ecocore	obligate aerobe	broadMatch	0.459605	good	6	6.91921
METPO:1000606	obligately aerobic	5	sssom	obligately aerobe; strict aerobe	32	http://purl.obolibrary.org/obo/MICRO_0001516	micro	obligate aerobe	broadMatch	0.436519	adequate	4	4.873038
METPO:1000607	obligately anaerobic	1	sssom	an anaerobe that cannot grow in the presence of oxygen	54	http://purl.obolibrary.org/obo/ECOCORE_00000178	ecocore	obligate anaerobe	broadMatch	0.606081	good	7	8.212162
